2022-05-12 03:01:11.478261200 T> capture finish 5 ms
2022-05-12 03:01:11.484089400 T> capture finish 5 ms
2022-05-12 03:01:11.490111100 T> capture finish 5 ms
2022-05-12 03:01:11.495923200 T> capture finish 5 ms
2022-05-12 03:01:11.501674100 T> capture finish 5 ms
2022-05-12 03:01:11.509349600 T> capture finish 7 ms
2022-05-12 03:01:11.515259300 T> capture finish 5 ms
2022-05-12 03:01:11.521299100 T> capture finish 5 ms
2022-05-12 03:01:11.527197600 T> capture finish 5 ms
2022-05-12 03:01:11.533286400 T> capture finish 5 ms
2022-05-12 03:01:11.539485000 T> capture finish 5 ms
2022-05-12 03:01:11.545803900 T> capture finish 6 ms
2022-05-12 03:01:11.551866500 T> capture finish 5 ms
2022-05-12 03:01:11.558651700 T> capture finish 6 ms
2022-05-12 03:01:11.566031700 T> capture finish 6 ms
2022-05-12 03:01:11.572197400 T> capture finish 5 ms
2022-05-12 03:01:11.579018500 T> capture finish 6 ms
2022-05-12 03:01:11.589106600 T> capture finish 9 ms
2022-05-12 03:01:11.595059100 T> capture finish 5 ms
2022-05-12 03:01:11.601260000 T> capture finish 5 ms
2022-05-12 03:01:11.607808400 T> capture finish 6 ms
2022-05-12 03:01:11.614437800 T> capture finish 6 ms
2022-05-12 03:01:11.620439000 T> capture finish 5 ms
2022-05-12 03:01:11.627154900 T> capture finish 6 ms
2022-05-12 03:01:11.633706200 T> capture finish 6 ms
2022-05-12 03:01:11.640626500 T> capture finish 6 ms
2022-05-12 03:01:11.646938200 T> capture finish 6 ms
2022-05-12 03:01:11.653641700 T> capture finish 6 ms
2022-05-12 03:01:11.659773700 T> capture finish 5 ms
2022-05-12 03:01:11.666145900 T> capture finish 6 ms
2022-05-12 03:01:11.672147100 T> capture finish 5 ms
2022-05-12 03:01:11.678746800 T> capture finish 6 ms
2022-05-12 03:01:11.684894100 T> capture finish 5 ms
2022-05-12 03:01:11.690761600 T> capture finish 5 ms
2022-05-12 03:01:11.696614800 T> capture finish 5 ms
2022-05-12 03:01:11.702829100 T> capture finish 5 ms
2022-05-12 03:01:11.709561100 T> capture finish 6 ms
2022-05-12 03:01:11.715993100 T> capture finish 6 ms
2022-05-12 03:01:11.722022600 T> capture finish 5 ms
2022-05-12 03:01:11.727943600 T> capture finish 5 ms
2022-05-12 03:01:11.733764400 T> capture finish 5 ms
2022-05-12 03:01:11.739800600 T> capture finish 5 ms
2022-05-12 03:01:11.745951000 T> capture finish 5 ms
2022-05-12 03:01:11.752198600 T> capture finish 5 ms
2022-05-12 03:01:11.758573200 T> capture finish 6 ms
2022-05-12 03:01:11.764922300 T> capture finish 6 ms
2022-05-12 03:01:11.771162400 T> capture finish 5 ms
2022-05-12 03:01:11.778756100 T> capture finish 7 ms
2022-05-12 03:01:11.784783600 T> capture finish 5 ms
2022-05-12 03:01:11.790784200 T> capture finish 5 ms
2022-05-12 03:01:11.796537600 T> capture finish 5 ms
2022-05-12 03:01:11.802531200 T> capture finish 5 ms
2022-05-12 03:01:11.809490100 T> capture finish 6 ms
2022-05-12 03:01:11.816642400 T> capture finish 6 ms
2022-05-12 03:01:11.825790700 T> capture finish 8 ms
2022-05-12 03:01:11.832597300 T> capture finish 6 ms
2022-05-12 03:01:11.838517300 T> capture finish 5 ms
2022-05-12 03:01:11.844521800 T> capture finish 5 ms
2022-05-12 03:01:11.850432800 T> capture finish 5 ms
2022-05-12 03:01:11.856347500 T> capture finish 5 ms
2022-05-12 03:01:11.862145500 T> capture finish 5 ms
2022-05-12 03:01:11.868902600 T> capture finish 6 ms
2022-05-12 03:01:11.878894400 T> capture finish 9 ms
2022-05-12 03:01:11.884900500 T> capture finish 5 ms
2022-05-12 03:01:11.890858500 T> capture finish 5 ms
